,test_image,response,resptime,observer,group,type,noise
83,anig2p2.png,10.0,4.440526,Person3,mittel Detailgrad,Anime,0
85,anig2p10.png,9.0,3.534789,Person3,mittel Detailgrad,Anime,0
132,anig2p1.png,9.0,2.222591,Person3,mittel Detailgrad,Anime,0
165,anig2p3.png,10.0,1.083275,Person3,mittel Detailgrad,Anime,0
175,anig2p5.png,10.0,1.511168,Person3,mittel Detailgrad,Anime,0
259,anig2p9.png,10.0,1.174055,Person3,mittel Detailgrad,Anime,0
263,anig2p7.png,9.0,0.759033,Person3,mittel Detailgrad,Anime,0
266,anig2p6.png,10.0,1.198337,Person3,mittel Detailgrad,Anime,0
347,anig2p4.png,10.0,0.721791,Person3,mittel Detailgrad,Anime,0
25,anig2p3.png,8.0,2.471242,Person4,mittel Detailgrad,Anime,0
75,anig2p9.png,8.0,0.898751,Person4,mittel Detailgrad,Anime,0
95,anig2p7.png,9.0,1.667924,Person4,mittel Detailgrad,Anime,0
131,anig2p6.png,8.0,0.001983,Person4,mittel Detailgrad,Anime,0
165,anig2p10.png,8.0,1.29217,Person4,mittel Detailgrad,Anime,0
184,anig2p2.png,5.0,1.20155,Person4,mittel Detailgrad,Anime,0
271,anig2p4.png,6.0,0.853035,Person4,mittel Detailgrad,Anime,0
291,anig2p8.png,7.0,0.904956,Person4,mittel Detailgrad,Anime,0
335,anig2p5.png,6.0,1.433993,Person4,mittel Detailgrad,Anime,0
346,anig2p1.png,6.0,2.507902,Person4,mittel Detailgrad,Anime,0
25,anig2p3.png,10.0,1.054121,Person5,mittel Detailgrad,Anime,0
75,anig2p9.png,4.0,1.190504,Person5,mittel Detailgrad,Anime,0
95,anig2p7.png,10.0,1.103084,Person5,mittel Detailgrad,Anime,0
131,anig2p6.png,10.0,1.053819,Person5,mittel Detailgrad,Anime,0
165,anig2p10.png,7.0,1.731307,Person5,mittel Detailgrad,Anime,0
184,anig2p2.png,7.0,2.938967,Person5,mittel Detailgrad,Anime,0
271,anig2p4.png,10.0,1.339645,Person5,mittel Detailgrad,Anime,0
291,anig2p8.png,7.0,1.284038,Person5,mittel Detailgrad,Anime,0
335,anig2p5.png,8.0,1.119553,Person5,mittel Detailgrad,Anime,0
346,anig2p1.png,7.0,1.455327,Person5,mittel Detailgrad,Anime,0
1,anig2p2.png,7.0,32.821482,Person6,mittel Detailgrad,Anime,0
30,anig2p6.png,8.0,4.229332,Person6,mittel Detailgrad,Anime,0
64,anig2p8.png,10.0,1.619284,Person6,mittel Detailgrad,Anime,0
122,anig2p10.png,9.0,3.048848,Person6,mittel Detailgrad,Anime,0
181,anig2p1.png,8.0,1.252775,Person6,mittel Detailgrad,Anime,0
182,anig2p9.png,8.0,11.277592,Person6,mittel Detailgrad,Anime,0
196,anig2p4.png,8.0,7.372444,Person6,mittel Detailgrad,Anime,0
234,anig2p7.png,8.0,1.049645,Person6,mittel Detailgrad,Anime,0
240,anig2p3.png,8.0,1.044735,Person6,mittel Detailgrad,Anime,0
348,anig2p5.png,8.0,1.739912,Person6,mittel Detailgrad,Anime,0
43,anig3p3.png,10.0,0.670043,Person1,wenig Detailgrad,Anime,0
97,anig3p5.png,10.0,0.966636,Person1,wenig Detailgrad,Anime,0
103,anig3p1.png,10.0,0.779185,Person1,wenig Detailgrad,Anime,0
119,anig3p8.png,8.0,0.063217,Person1,wenig Detailgrad,Anime,0
134,anig3p7.png,10.0,0.935002,Person1,wenig Detailgrad,Anime,0
184,anig3p2.png,9.0,2.366089,Person1,wenig Detailgrad,Anime,0
222,anig3p4.png,10.0,0.830773,Person1,wenig Detailgrad,Anime,0
233,anig3p10.png,10.0,0.660814,Person1,wenig Detailgrad,Anime,0
254,anig3p6.png,10.0,0.823008,Person1,wenig Detailgrad,Anime,0
356,anig3p9.png,10.0,1.721594,Person1,wenig Detailgrad,Anime,0
85,anig3p2.png,8.0,3.166847,Person2,wenig Detailgrad,Anime,0
189,anig3p4.png,10.0,1.323124,Person2,wenig Detailgrad,Anime,0
403,anig3p1.png,8.0,2.178253,Person2,wenig Detailgrad,Anime,0
425,anig3p6.png,8.0,3.457088,Person2,wenig Detailgrad,Anime,0
449,anig3p10.png,10.0,1.880923,Person2,wenig Detailgrad,Anime,0
451,anig3p7.png,7.0,2.433311,Person2,wenig Detailgrad,Anime,0
551,anig3p8.png,10.0,1.424932,Person2,wenig Detailgrad,Anime,0
559,anig3p3.png,6.0,3.50552,Person2,wenig Detailgrad,Anime,0
615,anig3p9.png,9.0,2.200917,Person2,wenig Detailgrad,Anime,0
711,anig3p5.png,7.0,1.033653,Person2,wenig Detailgrad,Anime,0
42,anig3p2.png,8.0,5.91846,Person3,wenig Detailgrad,Anime,0
94,anig3p4.png,10.0,0.885168,Person3,wenig Detailgrad,Anime,0
201,anig3p1.png,8.0,1.620265,Person3,wenig Detailgrad,Anime,0
212,anig3p6.png,4.0,1.859893,Person3,wenig Detailgrad,Anime,0
224,anig3p10.png,9.0,1.87298,Person3,wenig Detailgrad,Anime,0
225,anig3p7.png,10.0,2.050548,Person3,wenig Detailgrad,Anime,0
275,anig3p8.png,8.0,2.07066,Person3,wenig Detailgrad,Anime,0
279,anig3p3.png,9.0,1.228612,Person3,wenig Detailgrad,Anime,0
307,anig3p9.png,10.0,3.447155,Person3,wenig Detailgrad,Anime,0
355,anig3p5.png,10.0,1.330463,Person3,wenig Detailgrad,Anime,0
15,anig3p2.png,6.0,1.688023,Person4,wenig Detailgrad,Anime,0
37,anig3p10.png,7.0,1.340318,Person4,wenig Detailgrad,Anime,0
83,anig3p7.png,7.0,0.983618,Person4,wenig Detailgrad,Anime,0
135,anig3p4.png,7.0,1.033845,Person4,wenig Detailgrad,Anime,0
155,anig3p5.png,6.0,0.837127,Person4,wenig Detailgrad,Anime,0
166,anig3p1.png,6.0,1.530409,Person4,wenig Detailgrad,Anime,0
190,anig3p8.png,8.0,0.862423,Person4,wenig Detailgrad,Anime,0
255,anig3p9.png,8.0,2.195851,Person4,wenig Detailgrad,Anime,0
315,anig3p6.png,5.0,2.111894,Person4,wenig Detailgrad,Anime,0
317,anig3p3.png,7.0,0.677985,Person4,wenig Detailgrad,Anime,0
15,anig3p2.png,10.0,5.495788,Person5,wenig Detailgrad,Anime,0
37,anig3p10.png,8.0,1.555735,Person5,wenig Detailgrad,Anime,0
83,anig3p7.png,10.0,0.990762,Person5,wenig Detailgrad,Anime,0
135,anig3p4.png,8.0,1.306799,Person5,wenig Detailgrad,Anime,0
155,anig3p5.png,7.0,6.425052,Person5,wenig Detailgrad,Anime,0
166,anig3p1.png,8.0,14.486527,Person5,wenig Detailgrad,Anime,0
190,anig3p8.png,7.0,7.92544,Person5,wenig Detailgrad,Anime,0
255,anig3p9.png,8.0,1.348463,Person5,wenig Detailgrad,Anime,0
315,anig3p6.png,9.0,1.1882,Person5,wenig Detailgrad,Anime,0
317,anig3p3.png,8.0,0.914383,Person5,wenig Detailgrad,Anime,0
43,anig3p3.png,8.0,2.753936,Person6,wenig Detailgrad,Anime,0
97,anig3p5.png,8.0,2.157085,Person6,wenig Detailgrad,Anime,0
103,anig3p1.png,9.0,1.622671,Person6,wenig Detailgrad,Anime,0
119,anig3p8.png,8.0,1.520017,Person6,wenig Detailgrad,Anime,0
134,anig3p7.png,8.0,1.883971,Person6,wenig Detailgrad,Anime,0
184,anig3p2.png,7.0,1.623579,Person6,wenig Detailgrad,Anime,0
222,anig3p4.png,7.0,1.511129,Person6,wenig Detailgrad,Anime,0
233,anig3p10.png,8.0,1.016426,Person6,wenig Detailgrad,Anime,0
254,anig3p6.png,8.0,1.15942,Person6,wenig Detailgrad,Anime,0
356,anig3p9.png,9.0,1.28483,Person6,wenig Detailgrad,Anime,0
19,orig1p4.png,10.0,2.531683,Person1,hoch Detailgrad,Original,0
40,orig1p1.png,10.0,0.946585,Person1,hoch Detailgrad,Original,0
58,orig1p2.png,10.0,2.366802,Person1,hoch Detailgrad,Original,0
96,orig1p6.png,10.0,1.832311,Person1,hoch Detailgrad,Original,0
173,orig1p9.png,10.0,1.036775,Person1,hoch Detailgrad,Original,0
192,orig1p8.png,10.0,1.053674,Person1,hoch Detailgrad,Original,0
207,orig1p3.png,7.0,0.811394,Person1,hoch Detailgrad,Original,0
231,orig1p10.png,10.0,0.977182,Person1,hoch Detailgrad,Original,0
253,orig1p5.png,10.0,1.887244,Person1,hoch Detailgrad,Original,0
282,orig1p7.png,10.0,1.262391,Person1,hoch Detailgrad,Original,0
9,orig1p9.png,8.0,3.057197,Person2,hoch Detailgrad,Original,0
139,orig1p4.png,10.0,1.294804,Person2,hoch Detailgrad,Original,0
183,orig1p8.png,10.0,1.143047,Person2,hoch Detailgrad,Original,0
191,orig1p5.png,10.0,0.949147,Person2,hoch Detailgrad,Original,0
301,orig1p3.png,9.0,4.882276,Person2,hoch Detailgrad,Original,0
315,orig1p1.png,10.0,0.80635,Person2,hoch Detailgrad,Original,0
345,orig1p6.png,10.0,1.067439,Person2,hoch Detailgrad,Original,0
365,orig1p7.png,8.0,2.894684,Person2,hoch Detailgrad,Original,0
455,orig1p2.png,8.0,1.301956,Person2,hoch Detailgrad,Original,0
649,orig1p10.png,10.0,1.290821,Person2,hoch Detailgrad,Original,0
