,test_image,response,resptime,observer,group,type,noise
269,orig3p3.png,8.0,5.001439,Person6,wenig Detailgrad,Original,0
322,orig3p10.png,9.0,1.11761,Person6,wenig Detailgrad,Original,0
100,ani5g1p9.png,10.0,0.995495,Person1,hoch Detailgrad,Anime,5
139,ani5g1p7.png,10.0,1.032758,Person1,hoch Detailgrad,Anime,5
140,ani5g1p6.png,10.0,1.18219,Person1,hoch Detailgrad,Anime,5
153,ani5g1p4.png,1.0,1.032487,Person1,hoch Detailgrad,Anime,5
210,ani5g1p3.png,10.0,0.999853,Person1,hoch Detailgrad,Anime,5
211,ani5g1p2.png,10.0,0.743213,Person1,hoch Detailgrad,Anime,5
218,ani5g1p10.png,10.0,1.149927,Person1,hoch Detailgrad,Anime,5
259,ani5g1p8.png,8.0,3.351163,Person1,hoch Detailgrad,Anime,5
263,ani5g1p1.png,8.0,9.782104,Person1,hoch Detailgrad,Anime,5
334,ani5g1p5.png,10.0,1.992411,Person1,hoch Detailgrad,Anime,5
51,ani5g1p7.png,7.0,4.553788,Person2,hoch Detailgrad,Anime,5
97,ani5g1p9.png,10.0,2.760056,Person2,hoch Detailgrad,Anime,5
127,ani5g1p4.png,10.0,3.522445,Person2,hoch Detailgrad,Anime,5
135,ani5g1p10.png,9.0,4.070257,Person2,hoch Detailgrad,Anime,5
219,ani5g1p1.png,7.0,2.308498,Person2,hoch Detailgrad,Anime,5
263,ani5g1p2.png,8.0,2.199241,Person2,hoch Detailgrad,Anime,5
375,ani5g1p5.png,9.0,1.789962,Person2,hoch Detailgrad,Anime,5
409,ani5g1p6.png,9.0,1.954307,Person2,hoch Detailgrad,Anime,5
501,ani5g1p8.png,10.0,1.92637,Person2,hoch Detailgrad,Anime,5
681,ani5g1p3.png,10.0,1.035449,Person2,hoch Detailgrad,Anime,5
25,ani5g1p7.png,9.0,1.430202,Person3,hoch Detailgrad,Anime,5
48,ani5g1p9.png,10.0,1.527661,Person3,hoch Detailgrad,Anime,5
63,ani5g1p4.png,10.0,1.770684,Person3,hoch Detailgrad,Anime,5
67,ani5g1p10.png,9.0,1.933415,Person3,hoch Detailgrad,Anime,5
109,ani5g1p1.png,9.0,2.767424,Person3,hoch Detailgrad,Anime,5
131,ani5g1p2.png,10.0,3.075958,Person3,hoch Detailgrad,Anime,5
187,ani5g1p5.png,10.0,1.441424,Person3,hoch Detailgrad,Anime,5
204,ani5g1p6.png,9.0,3.221112,Person3,hoch Detailgrad,Anime,5
250,ani5g1p8.png,9.0,1.324681,Person3,hoch Detailgrad,Anime,5
340,ani5g1p3.png,9.0,2.244212,Person3,hoch Detailgrad,Anime,5
6,ani5g1p4.png,6.0,1.354251,Person4,hoch Detailgrad,Anime,5
100,ani5g1p2.png,7.0,0.919273,Person4,hoch Detailgrad,Anime,5
113,ani5g1p9.png,7.0,0.978834,Person4,hoch Detailgrad,Anime,5
151,ani5g1p10.png,7.0,0.815157,Person4,hoch Detailgrad,Anime,5
177,ani5g1p7.png,8.0,0.865128,Person4,hoch Detailgrad,Anime,5
203,ani5g1p1.png,7.0,1.46613,Person4,hoch Detailgrad,Anime,5
240,ani5g1p5.png,7.0,1.327259,Person4,hoch Detailgrad,Anime,5
260,ani5g1p8.png,6.0,4.777017,Person4,hoch Detailgrad,Anime,5
276,ani5g1p3.png,6.0,1.70607,Person4,hoch Detailgrad,Anime,5
286,ani5g1p6.png,6.0,1.374041,Person4,hoch Detailgrad,Anime,5
6,ani5g1p4.png,6.0,1.090848,Person5,hoch Detailgrad,Anime,5
100,ani5g1p2.png,10.0,2.681773,Person5,hoch Detailgrad,Anime,5
113,ani5g1p9.png,10.0,1.675842,Person5,hoch Detailgrad,Anime,5
151,ani5g1p10.png,7.0,2.97246,Person5,hoch Detailgrad,Anime,5
177,ani5g1p7.png,8.0,1.012627,Person5,hoch Detailgrad,Anime,5
203,ani5g1p1.png,5.0,1.742894,Person5,hoch Detailgrad,Anime,5
240,ani5g1p5.png,4.0,9.604469,Person5,hoch Detailgrad,Anime,5
260,ani5g1p8.png,6.0,2.003009,Person5,hoch Detailgrad,Anime,5
276,ani5g1p3.png,7.0,1.215998,Person5,hoch Detailgrad,Anime,5
286,ani5g1p6.png,6.0,1.175841,Person5,hoch Detailgrad,Anime,5
100,ani5g1p9.png,9.0,2.361919,Person6,hoch Detailgrad,Anime,5
139,ani5g1p7.png,7.0,18.242203,Person6,hoch Detailgrad,Anime,5
140,ani5g1p6.png,7.0,2.381646,Person6,hoch Detailgrad,Anime,5
153,ani5g1p4.png,8.0,1.548855,Person6,hoch Detailgrad,Anime,5
210,ani5g1p3.png,7.0,3.740118,Person6,hoch Detailgrad,Anime,5
211,ani5g1p2.png,7.0,2.291268,Person6,hoch Detailgrad,Anime,5
218,ani5g1p10.png,7.0,1.907306,Person6,hoch Detailgrad,Anime,5
259,ani5g1p8.png,7.0,2.869927,Person6,hoch Detailgrad,Anime,5
263,ani5g1p1.png,8.0,2.286985,Person6,hoch Detailgrad,Anime,5
334,ani5g1p5.png,8.0,1.266991,Person6,hoch Detailgrad,Anime,5
42,ani5g2p4.png,10.0,1.264225,Person1,mittel Detailgrad,Anime,5
120,ani5g2p1.png,10.0,2.541078,Person1,mittel Detailgrad,Anime,5
190,ani5g2p6.png,9.0,2.699181,Person1,mittel Detailgrad,Anime,5
223,ani5g2p5.png,10.0,0.708808,Person1,mittel Detailgrad,Anime,5
244,ani5g2p3.png,10.0,0.842293,Person1,mittel Detailgrad,Anime,5
246,ani5g2p2.png,8.0,1.35763,Person1,mittel Detailgrad,Anime,5
284,ani5g2p8.png,10.0,0.730501,Person1,mittel Detailgrad,Anime,5
296,ani5g2p7.png,9.0,1.610481,Person1,mittel Detailgrad,Anime,5
302,ani5g2p9.png,10.0,2.298529,Person1,mittel Detailgrad,Anime,5
320,ani5g2p10.png,10.0,1.65997,Person1,mittel Detailgrad,Anime,5
11,ani5g2p10.png,7.0,3.288666,Person2,mittel Detailgrad,Anime,5
29,ani5g2p3.png,7.0,3.910593,Person2,mittel Detailgrad,Anime,5
89,ani5g2p4.png,9.0,2.376073,Person2,mittel Detailgrad,Anime,5
99,ani5g2p5.png,10.0,1.25172,Person2,mittel Detailgrad,Anime,5
193,ani5g2p8.png,9.0,1.199548,Person2,mittel Detailgrad,Anime,5
367,ani5g2p6.png,9.0,1.626137,Person2,mittel Detailgrad,Anime,5
555,ani5g2p9.png,9.0,1.345867,Person2,mittel Detailgrad,Anime,5
561,ani5g2p1.png,5.0,5.295703,Person2,mittel Detailgrad,Anime,5
661,ani5g2p2.png,7.0,2.165137,Person2,mittel Detailgrad,Anime,5
719,ani5g2p7.png,8.0,2.42785,Person2,mittel Detailgrad,Anime,5
5,ani5g2p10.png,9.0,2.417455,Person3,mittel Detailgrad,Anime,5
14,ani5g2p3.png,9.0,2.396695,Person3,mittel Detailgrad,Anime,5
44,ani5g2p4.png,9.0,1.163632,Person3,mittel Detailgrad,Anime,5
49,ani5g2p5.png,9.0,1.228576,Person3,mittel Detailgrad,Anime,5
96,ani5g2p8.png,10.0,1.313558,Person3,mittel Detailgrad,Anime,5
183,ani5g2p6.png,10.0,1.424406,Person3,mittel Detailgrad,Anime,5
277,ani5g2p9.png,10.0,1.276884,Person3,mittel Detailgrad,Anime,5
280,ani5g2p1.png,10.0,0.927948,Person3,mittel Detailgrad,Anime,5
330,ani5g2p2.png,1.0,1.501582,Person3,mittel Detailgrad,Anime,5
359,ani5g2p7.png,10.0,1.802395,Person3,mittel Detailgrad,Anime,5
4,ani5g2p2.png,5.0,2.271406,Person4,mittel Detailgrad,Anime,5
21,ani5g2p9.png,6.0,1.627454,Person4,mittel Detailgrad,Anime,5
38,ani5g2p6.png,7.0,1.400783,Person4,mittel Detailgrad,Anime,5
53,ani5g2p3.png,9.0,1.295623,Person4,mittel Detailgrad,Anime,5
86,ani5g2p4.png,7.0,2.15841,Person4,mittel Detailgrad,Anime,5
99,ani5g2p10.png,7.0,2.052912,Person4,mittel Detailgrad,Anime,5
232,ani5g2p8.png,7.0,2.917446,Person4,mittel Detailgrad,Anime,5
275,ani5g2p1.png,4.0,2.796803,Person4,mittel Detailgrad,Anime,5
280,ani5g2p7.png,7.0,0.966965,Person4,mittel Detailgrad,Anime,5
319,ani5g2p5.png,7.0,1.971374,Person4,mittel Detailgrad,Anime,5
4,ani5g2p2.png,8.0,1.870549,Person5,mittel Detailgrad,Anime,5
21,ani5g2p9.png,10.0,2.601482,Person5,mittel Detailgrad,Anime,5
38,ani5g2p6.png,9.0,1.010279,Person5,mittel Detailgrad,Anime,5
53,ani5g2p3.png,10.0,1.062592,Person5,mittel Detailgrad,Anime,5
86,ani5g2p4.png,8.0,3.31241,Person5,mittel Detailgrad,Anime,5
99,ani5g2p10.png,10.0,11.197227,Person5,mittel Detailgrad,Anime,5
232,ani5g2p8.png,8.0,1.686289,Person5,mittel Detailgrad,Anime,5
275,ani5g2p1.png,6.0,1.316081,Person5,mittel Detailgrad,Anime,5
280,ani5g2p7.png,10.0,1.03015,Person5,mittel Detailgrad,Anime,5
319,ani5g2p5.png,6.0,2.19181,Person5,mittel Detailgrad,Anime,5
42,ani5g2p4.png,7.0,1.738994,Person6,mittel Detailgrad,Anime,5
120,ani5g2p1.png,8.0,1.544859,Person6,mittel Detailgrad,Anime,5
190,ani5g2p6.png,8.0,5.93021,Person6,mittel Detailgrad,Anime,5
223,ani5g2p5.png,7.0,9.143785,Person6,mittel Detailgrad,Anime,5
244,ani5g2p3.png,8.0,1.232717,Person6,mittel Detailgrad,Anime,5
246,ani5g2p2.png,8.0,3.161085,Person6,mittel Detailgrad,Anime,5
284,ani5g2p8.png,7.0,2.874722,Person6,mittel Detailgrad,Anime,5
296,ani5g2p7.png,8.0,1.11546,Person6,mittel Detailgrad,Anime,5
302,ani5g2p9.png,8.0,1.923266,Person6,mittel Detailgrad,Anime,5
320,ani5g2p10.png,8.0,1.109322,Person6,mittel Detailgrad,Anime,5
13,ani5g3p8.png,10.0,2.576156,Person1,wenig Detailgrad,Anime,5
88,ani5g3p10.png,10.0,1.38547,Person1,wenig Detailgrad,Anime,5
94,ani5g3p4.png,10.0,1.612449,Person1,wenig Detailgrad,Anime,5
163,ani5g3p3.png,10.0,1.751552,Person1,wenig Detailgrad,Anime,5
172,ani5g3p9.png,9.0,2.075884,Person1,wenig Detailgrad,Anime,5
176,ani5g3p5.png,10.0,1.480694,Person1,wenig Detailgrad,Anime,5
180,ani5g3p7.png,10.0,1.324016,Person1,wenig Detailgrad,Anime,5
194,ani5g3p6.png,10.0,0.869441,Person1,wenig Detailgrad,Anime,5
200,ani5g3p2.png,4.0,1.800083,Person1,wenig Detailgrad,Anime,5
289,ani5g3p1.png,10.0,1.018644,Person1,wenig Detailgrad,Anime,5
161,ani5g3p9.png,10.0,1.476004,Person2,wenig Detailgrad,Anime,5
179,ani5g3p4.png,10.0,1.292696,Person2,wenig Detailgrad,Anime,5
195,ani5g3p1.png,8.0,1.961339,Person2,wenig Detailgrad,Anime,5
221,ani5g3p7.png,8.0,1.577318,Person2,wenig Detailgrad,Anime,5
337,ani5g3p10.png,10.0,2.266011,Person2,wenig Detailgrad,Anime,5
423,ani5g3p2.png,7.0,3.393697,Person2,wenig Detailgrad,Anime,5
491,ani5g3p5.png,10.0,1.772219,Person2,wenig Detailgrad,Anime,5
499,ani5g3p3.png,8.0,1.875852,Person2,wenig Detailgrad,Anime,5
643,ani5g3p8.png,10.0,1.652206,Person2,wenig Detailgrad,Anime,5
689,ani5g3p6.png,5.0,3.994377,Person2,wenig Detailgrad,Anime,5
80,ani5g3p9.png,9.0,1.190188,Person3,wenig Detailgrad,Anime,5
89,ani5g3p4.png,10.0,1.477018,Person3,wenig Detailgrad,Anime,5
97,ani5g3p1.png,6.0,1.830845,Person3,wenig Detailgrad,Anime,5
110,ani5g3p7.png,9.0,1.404389,Person3,wenig Detailgrad,Anime,5
168,ani5g3p10.png,7.0,1.970088,Person3,wenig Detailgrad,Anime,5
211,ani5g3p2.png,7.0,2.012193,Person3,wenig Detailgrad,Anime,5
245,ani5g3p5.png,10.0,0.825347,Person3,wenig Detailgrad,Anime,5
249,ani5g3p3.png,8.0,1.621485,Person3,wenig Detailgrad,Anime,5
321,ani5g3p8.png,10.0,1.320278,Person3,wenig Detailgrad,Anime,5
344,ani5g3p6.png,7.0,2.361712,Person3,wenig Detailgrad,Anime,5
23,ani5g3p8.png,8.0,0.808428,Person4,wenig Detailgrad,Anime,5
56,ani5g3p10.png,8.0,1.090297,Person4,wenig Detailgrad,Anime,5
59,ani5g3p1.png,4.0,1.187793,Person4,wenig Detailgrad,Anime,5
84,ani5g3p2.png,5.0,1.188886,Person4,wenig Detailgrad,Anime,5
136,ani5g3p7.png,6.0,3.754688,Person4,wenig Detailgrad,Anime,5
153,ani5g3p9.png,8.0,0.932108,Person4,wenig Detailgrad,Anime,5
186,ani5g3p4.png,7.0,1.354598,Person4,wenig Detailgrad,Anime,5
215,ani5g3p6.png,7.0,1.415126,Person4,wenig Detailgrad,Anime,5
217,ani5g3p5.png,6.0,0.957716,Person4,wenig Detailgrad,Anime,5
359,ani5g3p3.png,6.0,1.746147,Person4,wenig Detailgrad,Anime,5
23,ani5g3p8.png,10.0,0.811984,Person5,wenig Detailgrad,Anime,5
56,ani5g3p10.png,8.0,1.532763,Person5,wenig Detailgrad,Anime,5
59,ani5g3p1.png,10.0,6.473533,Person5,wenig Detailgrad,Anime,5
84,ani5g3p2.png,10.0,1.406593,Person5,wenig Detailgrad,Anime,5
136,ani5g3p7.png,9.0,1.108982,Person5,wenig Detailgrad,Anime,5
153,ani5g3p9.png,7.0,0.931144,Person5,wenig Detailgrad,Anime,5
186,ani5g3p4.png,8.0,1.136244,Person5,wenig Detailgrad,Anime,5
215,ani5g3p6.png,4.0,1.381318,Person5,wenig Detailgrad,Anime,5
217,ani5g3p5.png,5.0,3.154056,Person5,wenig Detailgrad,Anime,5
359,ani5g3p3.png,8.0,3.32921,Person5,wenig Detailgrad,Anime,5
13,ani5g3p8.png,7.0,2.519943,Person6,wenig Detailgrad,Anime,5
88,ani5g3p10.png,8.0,2.617114,Person6,wenig Detailgrad,Anime,5
94,ani5g3p4.png,9.0,3.881424,Person6,wenig Detailgrad,Anime,5
163,ani5g3p3.png,7.0,3.062841,Person6,wenig Detailgrad,Anime,5
172,ani5g3p9.png,6.0,4.551359,Person6,wenig Detailgrad,Anime,5
176,ani5g3p5.png,7.0,3.84896,Person6,wenig Detailgrad,Anime,5
180,ani5g3p7.png,8.0,5.370809,Person6,wenig Detailgrad,Anime,5
194,ani5g3p6.png,8.0,6.685467,Person6,wenig Detailgrad,Anime,5
200,ani5g3p2.png,8.0,1.399772,Person6,wenig Detailgrad,Anime,5
289,ani5g3p1.png,8.0,1.49002,Person6,wenig Detailgrad,Anime,5
86,ori5g1p6.png,10.0,1.010616,Person1,hoch Detailgrad,Original,5
98,ori5g1p3.png,10.0,0.874411,Person1,hoch Detailgrad,Original,5
149,ori5g1p9.png,10.0,2.484216,Person1,hoch Detailgrad,Original,5
225,ori5g1p8.png,10.0,1.093331,Person1,hoch Detailgrad,Original,5
290,ori5g1p4.png,10.0,1.757583,Person1,hoch Detailgrad,Original,5
297,ori5g1p2.png,10.0,1.677553,Person1,hoch Detailgrad,Original,5
313,ori5g1p7.png,9.0,1.555509,Person1,hoch Detailgrad,Original,5
336,ori5g1p5.png,10.0,1.535883,Person1,hoch Detailgrad,Original,5
344,ori5g1p10.png,10.0,1.848924,Person1,hoch Detailgrad,Original,5
350,ori5g1p1.png,10.0,2.205859,Person1,hoch Detailgrad,Original,5
173,ori5g1p7.png,10.0,1.641161,Person2,hoch Detailgrad,Original,5
205,ori5g1p2.png,10.0,1.586171,Person2,hoch Detailgrad,Original,5
257,ori5g1p8.png,8.0,2.023781,Person2,hoch Detailgrad,Original,5
297,ori5g1p10.png,10.0,1.500379,Person2,hoch Detailgrad,Original,5
309,ori5g1p3.png,10.0,2.546923,Person2,hoch Detailgrad,Original,5
431,ori5g1p1.png,9.0,1.890835,Person2,hoch Detailgrad,Original,5
535,ori5g1p9.png,10.0,0.787146,Person2,hoch Detailgrad,Original,5
573,ori5g1p4.png,8.0,1.953955,Person2,hoch Detailgrad,Original,5
599,ori5g1p6.png,10.0,3.019156,Person2,hoch Detailgrad,Original,5
619,ori5g1p5.png,9.0,1.494153,Person2,hoch Detailgrad,Original,5
86,ori5g1p7.png,8.0,2.318528,Person3,hoch Detailgrad,Original,5
102,ori5g1p2.png,10.0,1.917467,Person3,hoch Detailgrad,Original,5
128,ori5g1p8.png,8.0,1.782083,Person3,hoch Detailgrad,Original,5
148,ori5g1p10.png,8.0,2.441226,Person3,hoch Detailgrad,Original,5
154,ori5g1p3.png,1.0,1.790361,Person3,hoch Detailgrad,Original,5
215,ori5g1p1.png,8.0,1.902934,Person3,hoch Detailgrad,Original,5
267,ori5g1p9.png,10.0,1.344731,Person3,hoch Detailgrad,Original,5
286,ori5g1p4.png,6.0,1.91504,Person3,hoch Detailgrad,Original,5
299,ori5g1p6.png,8.0,2.95167,Person3,hoch Detailgrad,Original,5
309,ori5g1p5.png,8.0,4.473911,Person3,hoch Detailgrad,Original,5
17,ori5g1p6.png,7.0,2.709525,Person4,hoch Detailgrad,Original,5
60,ori5g1p7.png,6.0,2.466297,Person4,hoch Detailgrad,Original,5
122,ori5g1p9.png,7.0,2.952267,Person4,hoch Detailgrad,Original,5
130,ori5g1p5.png,7.0,0.747307,Person4,hoch Detailgrad,Original,5
139,ori5g1p8.png,6.0,0.795034,Person4,hoch Detailgrad,Original,5
157,ori5g1p3.png,3.0,0.9411,Person4,hoch Detailgrad,Original,5
175,ori5g1p2.png,8.0,0.708309,Person4,hoch Detailgrad,Original,5
314,ori5g1p1.png,8.0,0.931486,Person4,hoch Detailgrad,Original,5
316,ori5g1p4.png,6.0,1.029794,Person4,hoch Detailgrad,Original,5
340,ori5g1p10.png,4.0,1.125674,Person4,hoch Detailgrad,Original,5
17,ori5g1p6.png,10.0,2.830276,Person5,hoch Detailgrad,Original,5
60,ori5g1p7.png,8.0,1.364236,Person5,hoch Detailgrad,Original,5
122,ori5g1p9.png,7.0,1.367114,Person5,hoch Detailgrad,Original,5
130,ori5g1p5.png,8.0,1.382966,Person5,hoch Detailgrad,Original,5
139,ori5g1p8.png,6.0,0.756214,Person5,hoch Detailgrad,Original,5
157,ori5g1p3.png,3.0,1.121252,Person5,hoch Detailgrad,Original,5
175,ori5g1p2.png,7.0,1.574803,Person5,hoch Detailgrad,Original,5
314,ori5g1p1.png,10.0,0.890157,Person5,hoch Detailgrad,Original,5
316,ori5g1p4.png,8.0,1.239346,Person5,hoch Detailgrad,Original,5
340,ori5g1p10.png,10.0,1.192885,Person5,hoch Detailgrad,Original,5
86,ori5g1p6.png,8.0,2.495862,Person6,hoch Detailgrad,Original,5
98,ori5g1p3.png,7.0,1.993608,Person6,hoch Detailgrad,Original,5
149,ori5g1p9.png,7.0,1.631533,Person6,hoch Detailgrad,Original,5
225,ori5g1p8.png,6.0,9.353541,Person6,hoch Detailgrad,Original,5
290,ori5g1p4.png,7.0,2.731833,Person6,hoch Detailgrad,Original,5
297,ori5g1p2.png,8.0,2.658035,Person6,hoch Detailgrad,Original,5
313,ori5g1p7.png,7.0,1.881043,Person6,hoch Detailgrad,Original,5
336,ori5g1p5.png,10.0,1.621289,Person6,hoch Detailgrad,Original,5
344,ori5g1p10.png,7.0,1.24252,Person6,hoch Detailgrad,Original,5
350,ori5g1p1.png,7.0,1.743188,Person6,hoch Detailgrad,Original,5
5,ori5g2p8.png,10.0,2.709342,Person1,mittel Detailgrad,Original,5
22,ori5g2p5.png,10.0,2.31978,Person1,mittel Detailgrad,Original,5
81,ori5g2p4.png,9.0,1.777715,Person1,mittel Detailgrad,Original,5
161,ori5g2p6.png,8.0,1.669728,Person1,mittel Detailgrad,Original,5
177,ori5g2p7.png,10.0,1.525552,Person1,mittel Detailgrad,Original,5
178,ori5g2p2.png,10.0,0.724117,Person1,mittel Detailgrad,Original,5
188,ori5g2p1.png,9.0,3.203681,Person1,mittel Detailgrad,Original,5
260,ori5g2p9.png,10.0,1.027303,Person1,mittel Detailgrad,Original,5
287,ori5g2p10.png,10.0,0.861493,Person1,mittel Detailgrad,Original,5
323,ori5g2p3.png,10.0,0.793981,Person1,mittel Detailgrad,Original,5
33,ori5g2p4.png,10.0,1.87444,Person2,mittel Detailgrad,Original,5
71,ori5g2p9.png,8.0,2.365907,Person2,mittel Detailgrad,Original,5
103,ori5g2p7.png,10.0,1.045918,Person2,mittel Detailgrad,Original,5
113,ori5g2p6.png,7.0,2.367355,Person2,mittel Detailgrad,Original,5
259,ori5g2p1.png,8.0,3.492283,Person2,mittel Detailgrad,Original,5
387,ori5g2p8.png,10.0,2.192896,Person2,mittel Detailgrad,Original,5
407,ori5g2p2.png,9.0,2.571893,Person2,mittel Detailgrad,Original,5
473,ori5g2p10.png,10.0,1.12183,Person2,mittel Detailgrad,Original,5
487,ori5g2p3.png,9.0,2.773271,Person2,mittel Detailgrad,Original,5
563,ori5g2p5.png,9.0,2.693877,Person2,mittel Detailgrad,Original,5
16,ori5g2p4.png,7.0,1.569217,Person3,mittel Detailgrad,Original,5
35,ori5g2p9.png,10.0,1.35162,Person3,mittel Detailgrad,Original,5
51,ori5g2p7.png,9.0,1.674104,Person3,mittel Detailgrad,Original,5
56,ori5g2p6.png,9.0,1.594321,Person3,mittel Detailgrad,Original,5
129,ori5g2p1.png,10.0,1.554984,Person3,mittel Detailgrad,Original,5
193,ori5g2p8.png,8.0,1.351066,Person3,mittel Detailgrad,Original,5
203,ori5g2p2.png,8.0,1.824883,Person3,mittel Detailgrad,Original,5
236,ori5g2p10.png,9.0,4.472617,Person3,mittel Detailgrad,Original,5
243,ori5g2p3.png,8.0,1.271972,Person3,mittel Detailgrad,Original,5
281,ori5g2p5.png,10.0,1.437465,Person3,mittel Detailgrad,Original,5
22,ori5g2p6.png,7.0,1.92768,Person4,mittel Detailgrad,Original,5
108,ori5g2p3.png,7.0,2.289861,Person4,mittel Detailgrad,Original,5
109,ori5g2p2.png,8.0,2.787408,Person4,mittel Detailgrad,Original,5
172,ori5g2p5.png,6.0,0.921466,Person4,mittel Detailgrad,Original,5
176,ori5g2p4.png,8.0,0.992994,Person4,mittel Detailgrad,Original,5
310,ori5g2p1.png,8.0,1.058526,Person4,mittel Detailgrad,Original,5
313,ori5g2p7.png,7.0,2.71722,Person4,mittel Detailgrad,Original,5
341,ori5g2p9.png,9.0,1.173034,Person4,mittel Detailgrad,Original,5
348,ori5g2p10.png,8.0,1.217179,Person4,mittel Detailgrad,Original,5
358,ori5g2p8.png,8.0,3.663797,Person4,mittel Detailgrad,Original,5
22,ori5g2p6.png,10.0,0.96526,Person5,mittel Detailgrad,Original,5
108,ori5g2p3.png,8.0,1.479242,Person5,mittel Detailgrad,Original,5
109,ori5g2p2.png,6.0,1.232953,Person5,mittel Detailgrad,Original,5
172,ori5g2p5.png,7.0,2.439629,Person5,mittel Detailgrad,Original,5
176,ori5g2p4.png,9.0,1.333015,Person5,mittel Detailgrad,Original,5
310,ori5g2p1.png,7.0,1.24148,Person5,mittel Detailgrad,Original,5
313,ori5g2p7.png,10.0,1.165093,Person5,mittel Detailgrad,Original,5
341,ori5g2p9.png,8.0,1.085405,Person5,mittel Detailgrad,Original,5
348,ori5g2p10.png,10.0,1.152757,Person5,mittel Detailgrad,Original,5
358,ori5g2p8.png,7.0,2.186123,Person5,mittel Detailgrad,Original,5
5,ori5g2p8.png,10.0,1.736436,Person6,mittel Detailgrad,Original,5
22,ori5g2p5.png,10.0,1.356597,Person6,mittel Detailgrad,Original,5
81,ori5g2p4.png,8.0,1.741264,Person6,mittel Detailgrad,Original,5
161,ori5g2p6.png,9.0,1.124001,Person6,mittel Detailgrad,Original,5
177,ori5g2p7.png,7.0,2.795691,Person6,mittel Detailgrad,Original,5
178,ori5g2p2.png,7.0,1.238392,Person6,mittel Detailgrad,Original,5
188,ori5g2p1.png,8.0,9.371743,Person6,mittel Detailgrad,Original,5
260,ori5g2p9.png,8.0,1.51958,Person6,mittel Detailgrad,Original,5
287,ori5g2p10.png,8.0,1.368096,Person6,mittel Detailgrad,Original,5
323,ori5g2p3.png,10.0,1.771866,Person6,mittel Detailgrad,Original,5
27,ori5g3p3.png,10.0,1.469498,Person1,wenig Detailgrad,Original,5
83,ori5g3p1.png,10.0,1.122975,Person1,wenig Detailgrad,Original,5
141,ori5g3p4.png,9.0,6.775922,Person1,wenig Detailgrad,Original,5
164,ori5g3p5.png,8.0,1.939673,Person1,wenig Detailgrad,Original,5
197,ori5g3p10.png,10.0,0.661512,Person1,wenig Detailgrad,Original,5
212,ori5g3p9.png,10.0,4.014072,Person1,wenig Detailgrad,Original,5
270,ori5g3p8.png,10.0,1.242116,Person1,wenig Detailgrad,Original,5
306,ori5g3p7.png,10.0,2.882884,Person1,wenig Detailgrad,Original,5
307,ori5g3p2.png,10.0,1.216682,Person1,wenig Detailgrad,Original,5
343,ori5g3p6.png,9.0,5.88951,Person1,wenig Detailgrad,Original,5
261,ori5g3p10.png,7.0,4.269882,Person2,wenig Detailgrad,Original,5
441,ori5g3p6.png,10.0,1.140961,Person2,wenig Detailgrad,Original,5
465,ori5g3p7.png,10.0,1.577553,Person2,wenig Detailgrad,Original,5
539,ori5g3p8.png,9.0,0.969141,Person2,wenig Detailgrad,Original,5
543,ori5g3p1.png,9.0,0.977204,Person2,wenig Detailgrad,Original,5
587,ori5g3p4.png,7.0,2.858031,Person2,wenig Detailgrad,Original,5
611,ori5g3p9.png,7.0,1.871804,Person2,wenig Detailgrad,Original,5
629,ori5g3p2.png,10.0,1.369349,Person2,wenig Detailgrad,Original,5
705,ori5g3p3.png,7.0,2.209581,Person2,wenig Detailgrad,Original,5
709,ori5g3p5.png,6.0,2.091089,Person2,wenig Detailgrad,Original,5
130,ori5g3p10.png,9.0,1.46429,Person3,wenig Detailgrad,Original,5
220,ori5g3p6.png,9.0,5.563573,Person3,wenig Detailgrad,Original,5
232,ori5g3p7.png,10.0,1.183902,Person3,wenig Detailgrad,Original,5
269,ori5g3p8.png,10.0,1.084581,Person3,wenig Detailgrad,Original,5
271,ori5g3p1.png,9.0,1.284289,Person3,wenig Detailgrad,Original,5
293,ori5g3p4.png,9.0,1.215516,Person3,wenig Detailgrad,Original,5
305,ori5g3p9.png,10.0,1.575635,Person3,wenig Detailgrad,Original,5
314,ori5g3p2.png,10.0,1.330518,Person3,wenig Detailgrad,Original,5
352,ori5g3p3.png,10.0,2.645029,Person3,wenig Detailgrad,Original,5
354,ori5g3p5.png,9.0,5.954791,Person3,wenig Detailgrad,Original,5
19,ori5g3p3.png,8.0,1.033395,Person4,wenig Detailgrad,Original,5
63,ori5g3p9.png,7.0,1.419866,Person4,wenig Detailgrad,Original,5
71,ori5g3p10.png,6.0,0.989816,Person4,wenig Detailgrad,Original,5
80,ori5g3p2.png,8.0,4.159659,Person4,wenig Detailgrad,Original,5
90,ori5g3p5.png,5.0,1.075642,Person4,wenig Detailgrad,Original,5
126,ori5g3p6.png,5.0,30.277644,Person4,wenig Detailgrad,Original,5
145,ori5g3p4.png,7.0,0.765092,Person4,wenig Detailgrad,Original,5
228,ori5g3p7.png,5.0,1.031611,Person4,wenig Detailgrad,Original,5
284,ori5g3p8.png,5.0,2.279232,Person4,wenig Detailgrad,Original,5
343,ori5g3p1.png,8.0,1.625572,Person4,wenig Detailgrad,Original,5
19,ori5g3p3.png,8.0,1.267798,Person5,wenig Detailgrad,Original,5
63,ori5g3p9.png,8.0,1.64331,Person5,wenig Detailgrad,Original,5
71,ori5g3p10.png,3.0,2.119583,Person5,wenig Detailgrad,Original,5
