test_image,response,resptime
ani45g2p4.png,3,1.666744

ori25g3p8.png,5,2.344703

orig1p7.png,8,1.416192

ani5g2p6.png,10,1.424406

ori25g2p3.png,8,12.293429

orig2p1.png,10,1.402626

ani25g3p6.png,2,1.684765

ani5g1p5.png,10,1.441424

ori25g2p6.png,4,2.716486

anig1p3.png,10,1.189315

ori25g1p4.png,8,1.557525

ori35g2p3.png,4,2.439892

ani15g2p9.png,5,2.292611

ori5g2p8.png,8,1.351066

ori25g1p10.png,2,1.29461

orig2p4.png,10,3.160392

ori15g3p7.png,8,1.394334

ori45g1p3.png,1,2.322271

ani15g3p2.png,3,1.706173

ori25g1p9.png,5,1.627031

ori35g3p3.png,3,2.111732

anig3p1.png,8,1.620265

ani45g1p4.png,1,1.95037

ori5g2p2.png,8,1.824883

ani5g1p6.png,9,3.221112

ori45g3p3.png,2,1.251643

ani45g1p10.png,4,1.884145

ori45g3p6.png,1,1.166975

ani45g2p2.png,2,1.35022

ani25g1p1.png,3,1.823384

ori15g2p7.png,6,1.80934

ani5g3p2.png,7,2.012193

anig3p6.png,4,1.859893

ori15g2p3.png,7,1.982927

ani25g1p5.png,7,1.288126

ori5g1p1.png,8,1.902934

ori35g2p9.png,2,2.355949

ani25g1p2.png,4,1.503843

anig1p9.png,10,1.73295

ani35g2p6.png,3,3.833815

ori5g3p6.png,9,5.563573

ani25g2p10.png,6,3.81179

ori25g2p5.png,3,4.729748

ori35g3p10.png,1,1.781861

anig3p10.png,9,1.87298

anig3p7.png,10,2.050548

ori15g1p8.png,8,9.835721

orig1p2.png,10,1.406899

ori45g2p1.png,2,1.730625

anig1p10.png,9,2.341588

ani15g1p7.png,7,1.463027

ani45g2p5.png,1,1.503101

ori5g3p7.png,10,1.183902

ori45g2p3.png,3,2.760041

ani35g3p1.png,1,1.213062

ori45g3p4.png,1,0.833211

ori5g2p10.png,9,4.472617

ori25g2p4.png,6,3.009206

ori25g3p2.png,6,1.027446

ori15g1p7.png,6,1.433416

ori35g1p7.png,4,1.310329

ani35g1p10.png,5,2.567475

ani25g3p7.png,3,1.29168

ori5g2p3.png,8,1.271972

anig1p4.png,10,1.653347

ani5g3p5.png,10,0.825347

ani45g1p3.png,1,1.811189

orig2p3.png,9,2.806979

ori35g2p8.png,2,3.491186

ani5g3p3.png,8,1.621485

ani5g1p8.png,9,1.324681

ani15g3p5.png,7,1.459511

orig3p3.png,8,1.210571

ani15g1p1.png,7,1.765828

ori45g1p6.png,3,2.270616

ori45g2p2.png,1,1.152635

ori45g1p4.png,1,0.854609

ani25g2p5.png,6,5.588844

ani25g2p3.png,7,1.276586

anig2p9.png,10,1.174055

ani35g2p8.png,4,1.932282

ori45g3p5.png,1,1.251474

orig2p2.png,9,1.523515

anig2p7.png,9,0.759033

ori15g3p9.png,7,1.705101

ori25g1p8.png,7,2.798509

anig2p6.png,10,1.198337

ori5g1p9.png,10,1.344731

ani35g1p5.png,7,1.825871

ori5g3p8.png,10,1.084581

ani35g2p9.png,3,1.487873

ori5g3p1.png,9,1.284289

ori35g1p4.png,7,1.322976

ani15g1p8.png,8,2.249456

ani35g3p6.png,1,4.830328

anig3p8.png,8,2.07066

ori45g2p10.png,2,3.785023

ani5g2p9.png,10,1.276884

ani15g2p1.png,9,1.500657

anig3p3.png,9,1.228612

ani5g2p1.png,10,0.927948

ori5g2p5.png,10,1.437465

ani15g1p3.png,8,1.633471

ori35g1p2.png,2,5.741055

ori35g3p2.png,1,1.921526

ori35g3p8.png,2,1.56838

ori5g1p4.png,6,1.91504

ani15g2p7.png,8,1.063445

ani35g3p2.png,1,1.458066

ani15g3p1.png,3,1.751807

ani45g3p1.png,1,0.782705

ori35g3p4.png,4,4.635331

ani35g1p9.png,2,1.039897

ori5g3p4.png,9,1.215516

ani45g3p6.png,1,2.020933

ori25g3p1.png,1,0.823533

ani15g3p7.png,7,1.65352

ani35g1p7.png,3,1.312424

ori45g1p1.png,2,1.131521

ori5g1p6.png,8,2.95167

orig2p8.png,9,0.907557

ani45g2p10.png,3,1.641369

ani25g1p9.png,5,2.011742

ori25g2p9.png,6,1.964391

ori15g3p3.png,8,1.107172

ori5g3p9.png,10,1.575635

ori25g3p3.png,3,1.277149

anig3p9.png,10,3.447155

ori25g3p7.png,3,1.263598

ori5g1p5.png,8,4.473911

ani25g1p3.png,5,2.853175

ori25g1p2.png,5,3.020479

ani35g1p4.png,2,2.609088

ani35g3p9.png,1,1.518049

ori5g3p2.png,10,1.330518

ori25g1p1.png,8,1.298345

ori45g1p5.png,4,5.126566

ani35g2p5.png,3,2.113158

ori35g1p6.png,3,1.250106

ani35g1p3.png,5,1.344793

orig2p10.png,10,1.296437

ani5g3p8.png,10,1.320278

ori15g1p6.png,8,1.373946

ori15g1p9.png,8,4.868148

orig1p10.png,8,2.563464

anig1p2.png,10,1.175594

ani15g2p3.png,8,1.243288

ori45g2p5.png,2,1.454272

ani15g1p10.png,4,1.702932

ani25g3p3.png,5,6.007445

ani5g2p2.png,1,1.501582

ori25g3p6.png,2,3.954288

ani15g3p6.png,1,1.86548

ori25g3p4.png,5,2.388728

ori15g1p10.png,8,2.24887

ani15g1p2.png,6,1.574998

ani45g2p6.png,2,1.247481

ani35g1p2.png,2,1.68214

ori45g1p8.png,1,1.089119

ani45g3p2.png,1,0.608733

ani5g1p3.png,9,2.244212

ori35g1p5.png,4,2.487265

ani45g3p3.png,1,1.276929

ani15g3p4.png,7,2.41857

ani5g3p6.png,7,2.361712

ani45g3p4.png,3,3.871616

anig1p1.png,10,1.336123

anig2p4.png,10,0.721791

ori25g1p6.png,7,1.287781

ani25g1p7.png,7,7.399654

ori45g3p1.png,1,1.146868

ani35g3p8.png,1,0.835135

ori5g3p3.png,10,2.645029

ani15g3p9.png,8,2.533293

ori5g3p5.png,9,5.954791

anig3p5.png,10,1.330463

ani35g3p7.png,1,8.162406

ori45g3p2.png,1,0.776169

ori15g3p6.png,5,42.434078

ani5g2p7.png,10,1.802395
