test_image,response,resptime
ori35g2p10.png,3,2.317007
orig1p2.png,9,1.68725
ani35g2p10.png,3,1.303172
ori15g2p1.png,4,1.075297
ani25g2p10.png,3,1.096643
anig1p7.png,7,1.638672
ani45g1p7.png,1,1.17083
ani15g3p10.png,4,1.331215
ori45g2p9.png,1,0.934652
ani25g3p2.png,2,0.894668
ori45g1p6.png,1,0.800041
ori25g3p2.png,2,0.910969
ani5g1p1.png,7,1.46613
ori15g3p10.png,4,3.056451
ani35g2p7.png,1,0.812196
orig2p4.png,5,2.132896
ani35g1p3.png,4,1.156329
ori25g3p7.png,3,0.973292
ani15g1p1.png,7,1.678351
orig1p3.png,7,0.710449
ori35g1p3.png,4,1.14063
ani35g3p2.png,2,1.069847
ani15g3p5.png,3,1.34459
ori45g3p9.png,1,1.04807
ani5g3p6.png,7,1.415126
ani15g2p8.png,6,1.807845
ani5g3p5.png,6,0.957716
ori15g1p3.png,6,0.667039
ori45g1p7.png,1,0.722961
ori15g3p2.png,2,0.829051
ani15g1p3.png,4,1.236782
ani45g2p4.png,1,0.862505
ani35g3p3.png,1,0.600446
anig1p5.png,8,1.504388
ori25g2p3.png,5,5.005491
ori35g3p2.png,3,2.903461
ani25g2p5.png,4,1.568701
ori5g3p7.png,5,1.031611
ori35g3p1.png,2,0.947628
ori45g3p5.png,2,0.823498
ani35g2p1.png,3,1.25028
ani5g2p8.png,7,2.917446
ani15g1p9.png,4,1.884702
ori15g2p10.png,4,3.556644
ori45g3p3.png,1,0.937166
ori25g1p5.png,3,1.853137
ani45g3p4.png,1,6.236186
ani15g1p10.png,4,2.666114
ani25g3p10.png,4,1.360785
ani5g1p5.png,7,1.327259
ori45g1p1.png,5,2.001548
ani45g1p3.png,4,0.971855
ori15g3p4.png,4,1.45486
orig3p5.png,5,1.511534
ori25g3p1.png,3,2.454038
orig3p9.png,8,1.774147
anig1p10.png,7,1.001886
ori35g3p8.png,3,2.15202
ani15g2p5.png,5,1.150235
ani25g3p8.png,4,1.209751
ani35g1p10.png,3,1.075485
orig1p1.png,9,1.554025
ori35g2p1.png,4,2.985922
ani35g3p5.png,4,0.737144
anig3p9.png,8,2.195851
ani45g3p1.png,1,0.859275
ani15g1p7.png,7,1.14183
anig1p4.png,7,1.319883
ori25g1p8.png,6,1.949189
ani5g1p8.png,6,4.777017
ani25g3p7.png,1,1.225689
ori15g2p7.png,6,3.761465
ori25g2p10.png,3,6.211506
ori15g3p1.png,3,1.024809
ori35g3p5.png,2,1.585885
ani35g1p7.png,2,1.1392
ani45g3p8.png,1,0.697103
ani35g2p8.png,2,1.347971
ori25g3p5.png,4,1.035931
ori15g3p6.png,5,2.737346
anig2p4.png,6,0.853035
ori35g1p2.png,4,0.885919
ani35g2p2.png,4,0.728032
ori35g3p10.png,2,1.995046
ani5g2p1.png,4,2.796803
ani5g1p3.png,6,1.70607
ani45g2p5.png,3,2.102687
orig2p2.png,7,0.939312
ani15g1p4.png,6,3.558468
ani5g2p7.png,7,0.966965
ori15g3p5.png,7,0.954652
ani25g3p4.png,3,1.174551
ori15g2p3.png,10,3.333363
ori5g3p8.png,5,2.279232
ani15g2p4.png,3,1.677427
ani5g1p6.png,6,1.374041
ani35g1p5.png,4,1.36721
ani45g1p6.png,3,0.787202
ori25g1p6.png,5,1.541822
ori15g2p8.png,6,1.765391
anig2p8.png,7,0.904956
ani15g2p3.png,7,1.245223
ori35g1p7.png,3,0.877528
ori35g2p7.png,3,0.796602
ani45g3p9.png,1,1.638835
ani45g1p8.png,1,1.094917
ori25g3p3.png,2,0.910508
ori45g3p1.png,1,0.698761
ori15g2p4.png,3,1.248633
ori45g2p1.png,2,0.896202
ori25g1p1.png,6,1.426279
ani35g2p5.png,3,0.885911
ori25g1p3.png,5,1.958099
orig2p8.png,7,0.898939
ani35g1p8.png,4,1.581735
ani25g2p1.png,4,4.915486
ani25g3p1.png,3,0.965106
orig3p10.png,7,1.3823
orig2p5.png,7,0.86534
ori5g2p1.png,8,1.058526
ori45g3p4.png,1,0.844265
ani15g2p10.png,3,1.669582
ori5g2p7.png,7,2.71722
ori5g1p1.png,8,0.931486
anig3p6.png,5,2.111894
ori5g1p4.png,6,1.029794
anig3p3.png,7,0.677985
ori45g1p8.png,4,1.834494
ani5g2p5.png,7,1.971374
ani15g3p4.png,4,1.568198
ori35g3p9.png,3,1.059822
ori45g1p5.png,2,1.899152
ani25g1p10.png,4,0.965933
ani25g2p8.png,5,1.210183
orig1p6.png,10,1.660149
ori15g1p2.png,6,1.309936
ori25g3p8.png,4,0.907672
orig3p4.png,10,1.467972
ani25g1p8.png,4,1.133836
ani15g2p9.png,4,0.882957
ani35g3p6.png,3,0.858339
ori35g1p5.png,2,0.973963
ori15g1p8.png,5,1.785054
ori35g1p9.png,4,0.955854
anig2p5.png,6,1.433993
ani35g1p2.png,4,1.730259
ori35g2p5.png,3,0.907174
ori15g1p6.png,10,1.965265
ori25g1p9.png,5,1.48418
ori5g1p10.png,4,1.125674
ori5g2p9.png,9,1.173034
ani25g1p7.png,8,1.092062
ori5g3p1.png,8,1.625572
ori45g2p3.png,1,2.384857
ani45g1p4.png,1,0.699161
anig2p1.png,6,2.507902
ori45g2p5.png,2,1.134039
ori5g2p10.png,8,1.217179
ani15g1p8.png,6,3.720291
ori45g1p9.png,4,0.859196
ori45g3p6.png,3,1.114297
ori25g2p7.png,4,7.599948
orig3p6.png,7,2.311252
ani45g3p2.png,1,0.777617
ani45g2p1.png,1,0.646187
ori15g3p3.png,3,4.541242
ori25g1p2.png,4,0.894556
ori5g2p8.png,8,3.663797
ani5g3p3.png,6,1.746147
