test_image,response,resptime
anig1p8.png,8,2.482364
,,
ani45g2p3.png,2,2.149976
,,
ori35g1p9.png,2,2.119642
,,
anig2p3.png,10,1.520633
,,
ani35g2p1.png,2,4.733045
,,
ori15g3p8.png,3,2.155158
,,
ani5g3p10.png,10,2.266011
,,
ani35g3p4.png,3,2.542058
,,
orig2p5.png,9,2.828371
,,
ori35g2p2.png,2,1.847597
,,
orig1p6.png,10,1.067439
,,
ani45g2p7.png,2,3.951296
,,
ori15g3p5.png,5,3.401572
,,
anig2p5.png,10,1.31551
,,
ani15g3p8.png,8,3.41755
,,
ani15g2p6.png,7,2.24861
,,
ori45g1p10.png,2,1.970098
,,
ori15g2p6.png,6,2.165481
,,
ani45g2p4.png,1,1.586725
,,
ori25g3p8.png,2,2.408269
,,
orig1p7.png,8,2.894684
,,
ani5g2p6.png,9,1.626137
,,
ori25g2p3.png,3,2.571066
,,
orig2p1.png,10,1.633183
,,
ani25g3p6.png,2,2.402516
,,
ani5g1p5.png,9,1.789962
,,
ori25g2p6.png,3,3.931264
,,
anig1p3.png,10,1.378039
,,
ori25g1p4.png,4,2.087666
,,
ori35g2p3.png,2,2.171141
,,
ani15g2p9.png,5,3.332581
,,
ori5g2p8.png,10,2.192896
,,
ori25g1p10.png,7,2.814532
,,
orig2p4.png,9,4.294626
,,
ori15g3p7.png,4,2.706975
,,
ori45g1p3.png,1,1.857973
,,
ani15g3p2.png,3,3.276335
,,
ori25g1p9.png,3,1.892183
,,
ori35g3p3.png,2,1.840404
,,
anig3p1.png,8,2.178253
,,
ani45g1p4.png,3,3.394989
,,
ori5g2p2.png,9,2.571893
,,
ani5g1p6.png,9,1.954307
,,
ori45g3p3.png,1,0.973039
,,
ani45g1p10.png,2,3.269863
,,
ori45g3p6.png,1,0.841131
,,
ani45g2p2.png,1,1.103885
,,
ani25g1p1.png,3,2.024915
,,
ori15g2p7.png,5,3.02535
,,
ani5g3p2.png,7,3.393697
,,
anig3p6.png,8,3.457088
,,
ori15g2p3.png,7,2.714073
,,
ani25g1p5.png,4,2.734855
,,
ori5g1p1.png,9,1.890835
,,
ori35g2p9.png,3,2.11315
,,
ani25g1p2.png,3,1.830256
,,
anig1p9.png,10,1.64325
,,
ani35g2p6.png,3,1.988713
,,
ori5g3p6.png,10,1.140961
,,
ani25g2p10.png,3,2.577727
,,
ori25g2p5.png,3,2.470952
,,
ori35g3p10.png,1,1.40135
,,
anig3p10.png,10,1.880923
,,
anig3p7.png,7,2.433311
,,
ori15g1p8.png,7,1.902807
,,
orig1p2.png,8,1.301956
,,
ori45g2p1.png,1,1.159438
,,
anig1p10.png,10,2.328684
,,
ani15g1p7.png,6,2.218658
,,
ani45g2p5.png,1,0.915654
,,
ori5g3p7.png,10,1.577553
,,
ori45g2p3.png,1,1.146995
,,
