test_image,response,resptime
ori35g2p10.png,4,1.09732
orig1p2.png,8,1.280568
ani35g2p10.png,3,1.03977
ori15g2p1.png,4,1.203646
ani25g2p10.png,4,1.223433
anig1p7.png,5,1.081798
ani45g1p7.png,2,1.001494
ani15g3p10.png,2,0.992073
ori45g2p9.png,2,0.808331
ani25g3p2.png,2,0.714552
ori45g1p6.png,2,0.773417
ori25g3p2.png,4,1.075177
ani5g1p1.png,5,1.742894
ori15g3p10.png,2,8.440358
ani35g2p7.png,2,0.904994
orig2p4.png,7,5.360036
ani35g1p3.png,3,3.286219
ori25g3p7.png,3,20.345781
ani15g1p1.png,5,6.801764
orig1p3.png,4,1.11803
ori35g1p3.png,2,0.864686
ani35g3p2.png,2,0.806722
ani15g3p5.png,2,0.935498
ori45g3p9.png,1,0.77987
ani5g3p6.png,4,1.381318
ani15g2p8.png,5,1.007002
ani5g3p5.png,5,3.154056
ori15g1p3.png,3,0.730737
ori45g1p7.png,1,1.738411
ori15g3p2.png,4,6.000166
ani15g1p3.png,6,1.120805
ani45g2p4.png,3,1.07234
ani35g3p3.png,3,1.458117
anig1p5.png,9,5.28657
ori25g2p3.png,6,1.433996
ori35g3p2.png,3,0.910113
ani25g2p5.png,3,2.02121
ori5g3p7.png,7,1.419299
ori35g3p1.png,3,3.940651
ori45g3p5.png,1,1.190083
ani35g2p1.png,2,1.075165
ani5g2p8.png,8,1.686289
ani15g1p9.png,7,5.754793
ori15g2p10.png,4,4.308919
ori45g3p3.png,1,1.015523
ori25g1p5.png,5,1.156806
ani45g3p4.png,3,0.861948
ani15g1p10.png,8,2.763237
ani25g3p10.png,2,1.022292
ani5g1p5.png,4,9.604469
ori45g1p1.png,1,0.894149
ani45g1p3.png,2,0.950787
ori15g3p4.png,3,0.942854
orig3p5.png,4,0.714816
ori25g3p1.png,5,0.239094
orig3p9.png,2,0.643657
anig1p10.png,7,1.236721
ori35g3p8.png,3,1.009914
ani15g2p5.png,5,13.673271
ani25g3p8.png,4,1.027129
ani35g1p10.png,2,1.663273
orig1p1.png,10,1.420652
ori35g2p1.png,3,2.380202
ani35g3p5.png,2,1.102205
anig3p9.png,8,1.348463
ani45g3p1.png,3,1.731101
ani15g1p7.png,4,2.029762
anig1p4.png,10,1.535695
ori25g1p8.png,5,3.285936
ani5g1p8.png,6,2.003009
ani25g3p7.png,5,1.533497
ori15g2p7.png,3,1.611239
ori25g2p10.png,2,1.083021
ori15g3p1.png,5,1.317253
ori35g3p5.png,3,0.917015
ani35g1p7.png,3,0.874691
ani45g3p8.png,2,1.326241
ani35g2p8.png,1,1.479299
ori25g3p5.png,3,2.686629
ori15g3p6.png,3,0.384079
anig2p4.png,10,1.339645
ori35g1p2.png,4,1.607697
ani35g2p2.png,3,4.825298
ori35g3p10.png,1,0.982061
ani5g2p1.png,6,1.316081
ani5g1p3.png,7,1.215998
ani45g2p5.png,3,1.334371
orig2p2.png,9,1.333661
ani15g1p4.png,6,1.158076
ani5g2p7.png,10,1.03015
ori15g3p5.png,2,1.749406
ani25g3p4.png,2,1.057683
ori15g2p3.png,5,1.570252
ori5g3p8.png,5,1.351005
ani15g2p4.png,5,1.471162
ani5g1p6.png,6,1.175841
ani35g1p5.png,4,1.610317
ani45g1p6.png,2,1.285229
ori25g1p6.png,4,1.597267
ori15g2p8.png,5,8.890816
anig2p8.png,7,1.284038
ani15g2p3.png,7,1.115485
ori35g1p7.png,3,1.916368
ori35g2p7.png,2,1.223339
ani45g3p9.png,1,0.995027
ani45g1p8.png,5,0.923967
ori25g3p3.png,4,1.470043
ori45g3p1.png,3,0.92882
ori15g2p4.png,6,6.703073
ori45g2p1.png,4,1.016692
ori25g1p1.png,4,2.226986
ani35g2p5.png,3,0.885327
ori25g1p3.png,3,1.073033
orig2p8.png,10,5.034969
ani35g1p8.png,5,1.428657
ani25g2p1.png,4,1.112588
ani25g3p1.png,4,0.783316
orig3p10.png,8,1.184209
orig2p5.png,8,0.944493
ori5g2p1.png,7,1.24148
ori45g3p4.png,2,1.434461
