test_image,response,resptime
ori45g2p3.png,1,0.850615
orig1p8.png,10,1.053674
ani45g2p3.png,1,0.787517
ani5g3p6.png,10,0.869441
ori45g1p4.png,1,1.201399
anig2p4.png,10,1.324603
ori5g3p10.png,10,0.661512
ani35g2p4.png,1,1.538827
ori45g1p6.png,1,0.60043
ani5g3p2.png,4,1.800083
ani15g1p4.png,5,2.800187
ori15g3p9.png,3,3.092094
ori15g3p1.png,3,2.973001
ani15g1p8.png,7,1.61981
ori25g1p8.png,4,2.767648
ori15g2p6.png,5,2.233783
orig1p3.png,7,0.811394
ori25g2p7.png,2,1.784066
ori15g1p8.png,8,5.342263
ani5g1p3.png,10,0.999853
ani5g1p2.png,10,0.743213
ori5g3p9.png,10,4.014072
ori25g1p9.png,3,1.953746
ani45g3p5.png,1,1.026322
ani45g1p1.png,1,0.56852
orig2p7.png,10,0.868038
orig3p1.png,10,0.741215
ani5g1p10.png,10,1.149927
ani35g1p4.png,10,0.900987
ani25g3p1.png,5,2.405294
ani25g3p7.png,3,1.745283
anig3p4.png,10,0.830773
ani5g2p5.png,10,0.708808
ani25g1p3.png,8,1.250222
ori5g1p8.png,10,1.093331
ori35g1p3.png,3,1.76076
ani25g2p5.png,4,1.59724
ori35g1p8.png,1,1.334715
orig2p3.png,10,0.911353
ori45g1p10.png,1,0.804497
orig1p10.png,10,0.977182
orig3p4.png,10,2.302266
anig3p10.png,10,0.660814
anig2p7.png,10,0.748061
ani25g1p6.png,8,1.685469
ori45g1p5.png,1,1.147139
ani15g3p1.png,4,2.079674
ani45g1p2.png,1,1.646408
anig1p8.png,7,2.713915
anig2p3.png,10,1.348955
ori25g1p6.png,6,2.004596
ori45g1p7.png,1,1.273859
ani45g2p7.png,1,0.728871
ani5g2p3.png,10,0.842293
ori15g2p1.png,7,2.188675
ani5g2p2.png,8,1.35763
ori25g3p6.png,5,1.546713
orig2p10.png,10,0.811833
ani15g3p10.png,7,2.008381
ori15g1p9.png,8,2.819104
anig1p5.png,10,1.48036
ani35g2p8.png,2,2.590766
orig1p5.png,10,1.887244
anig3p6.png,10,0.823008
ani45g2p4.png,1,1.532639
ori25g1p1.png,3,2.144193
ori35g3p8.png,1,1.16837
ani25g1p1.png,3,5.501481
ani5g1p8.png,8,3.351163
ori5g2p9.png,10,1.027303
ori45g1p8.png,1,2.453173
ani15g2p4.png,4,4.128343
ani5g1p1.png,8,9.782104
ori45g2p10.png,1,5.710948
orig3p5.png,10,2.929606
ani35g1p3.png,3,1.781361
ani45g2p9.png,1,0.928912
ori35g2p2.png,1,0.717027
orig3p3.png,10,1.031535
ori5g3p8.png,10,1.242116
ori15g2p7.png,8,1.535205
ani45g3p2.png,1,0.81733
ori15g1p6.png,9,2.845596
ani45g2p10.png,1,1.004436
ani45g1p6.png,1,0.773962
ori45g2p8.png,1,0.647554
ori45g2p7.png,1,0.941477
ani45g3p6.png,1,0.68227
ori35g2p5.png,2,1.853755
ori35g2p1.png,3,2.041903
ani45g2p5.png,1,1.496551
orig1p7.png,10,1.262391
anig1p9.png,10,0.721881
ani5g2p8.png,10,0.730501
anig1p6.png,10,0.705601
ori25g2p2.png,3,1.846041
ori5g2p10.png,10,0.861493
ori45g2p9.png,1,1.949676
ani5g3p1.png,10,1.018644
ori5g1p4.png,10,1.757583
ori15g2p4.png,3,1.251941
ani35g2p5.png,4,4.32811
ani15g1p2.png,9,1.698673
ori15g3p4.png,7,1.470648
ori15g2p10.png,7,1.181634
ani5g2p7.png,9,1.610481
ori5g1p2.png,10,1.677553
ori35g2p9.png,2,2.406257
ori45g3p3.png,1,0.983596
ori35g1p10.png,1,0.99465
ori25g2p8.png,4,1.538133
ani5g2p9.png,10,2.298529
ori15g1p2.png,9,2.214814
ori45g3p4.png,2,2.088349
ori25g2p10.png,4,1.902965
ori5g3p7.png,10,2.882884
ori5g3p2.png,10,1.216682
ani15g1p1.png,6,1.368775
anig1p10.png,6,0.916986
ori25g1p5.png,5,1.968664
ani25g3p9.png,3,1.207571
ori25g3p1.png,1,3.00438
ori5g1p7.png,9,1.555509
ani35g3p8.png,2,2.314536
ani15g3p3.png,8,2.856128
anig1p1.png,9,2.462141
